"[793.0, '2009-11-07/2012-01-09']","['d', 716, '2009-11-07/2011-10-24']"
"[240.0, '2012-01-09/2012-09-05']","['sot', 240, '2012-01-09/2012-09-05']"
"[582.0, '2012-09-13/2014-04-18']","['sot', 582, '2012-09-13/2014-04-18']"
"[1691, '2014-05-16/2019-01-01']","['sot', 1691, '2014-05-16/2019-01-01']"
