user_id,2019-05-28,2019-05-29,2019-05-30,2019-05-31,2019-06-01
taylorotwell,9,12,1,2,1
driesvints,0,0,1,0,0
martinbean,0,0,0,1,0
GrahamCampbell,0,0,0,1,0
