durations,datelimits
33.0,2015-11-05/2015-12-08
28.0,2015-12-08/2016-01-05
17.0,2016-05-17/2016-06-03
19.0,2016-06-30/2016-07-19
17.0,2016-08-08/2016-08-25
27.0,2016-11-08/2016-12-05
24.0,2016-12-16/2017-01-09
21.0,2017-01-18/2017-02-08
