durations,datelimits
13.0,2012-10-05/2012-10-18
8.0,2012-12-04/2012-12-12
10.0,2013-01-11/2013-01-21
9.0,2013-06-19/2013-06-28
16.0,2013-07-01/2013-07-17
26.0,2013-08-30/2013-09-25
20.0,2013-10-09/2013-10-29
13.0,2013-09-26/2013-10-09
10.0,2014-02-04/2014-02-14
16.0,2014-12-13/2014-12-29
4.0,2014-08-29/2014-09-02
4.0,2014-09-11/2014-09-15
4.0,2014-10-30/2014-11-03
4.0,2015-02-14/2015-02-18
7.0,2015-03-26/2015-04-02
9.0,2015-04-04/2015-04-13
5.0,2015-04-13/2015-04-18
4.0,2015-04-23/2015-04-27
11.0,2016-01-29/2016-02-09
54.0,2016-04-22/2016-06-15
7.0,2016-06-29/2016-07-06
8.0,2016-12-22/2016-12-30
10.0,2017-01-20/2017-01-30
10.0,2017-05-12/2017-05-22
18.0,2017-06-15/2017-07-03
20.0,2017-11-17/2017-12-07
14.0,2018-01-29/2018-02-12
10.0,2018-02-16/2018-02-26
50.0,2019-02-13/2019-04-04
42.0,2018-11-15/2018-12-27
