sha,author_id,date
561358955e36498d26d0ba397918d3c63928adce,gfosco,2014-04-28 21:47:13
0ccaf1f6a1327647d2224419bd247a3acf10a6da,gfosco,2014-04-28 21:47:13
0ad824bf859695ba708532b5efe35db682980fc9,gfosco,2014-04-28 21:53:05
c455dfbf697ed30d300f86469b84876d886def5d,gfosco,2014-04-28 21:57:11
7b33ad861c4f625e9acca4b7cb556b7a15df3f1d,gfosco,2014-04-28 22:03:56
38b6e66a95a4da91157f14969300c7c2549f078e,gfosco,2014-04-30 17:56:52
b3614f689b0b2f725b213355f7db19aa5ac52d54,SammyK,2014-04-30 19:13:15
a1d7e8f6e2bdf7ee766bc2bc5082591ebb3dee18,SammyK,2014-04-30 19:36:03
bd9474cf14b9083caaaaf574bbc7d104bd7352be,SammyK,2014-04-30 21:55:30
24f2e0b55aab064591e350f2f4c4d03156e69fed,SammyK,2014-04-30 22:06:37
ee0f44818b4471c7d6be23a41552541214c553d6,gfosco,2014-04-30 22:53:44
374af22f60958d6533910e13255af0e40ea05987,JoelMarcey,2014-04-30 23:30:48
3959e5b762091eae296da5f48a164d74e87c8633,gfosco,2014-04-30 23:43:55
a7790757de6b9c2573e3cf4b4bbb147d2a510915,carlsonorozco,2014-05-01 14:51:00
f63bc63401cea07d90b57fd44126a5b220812fa2,SammyK,2014-05-01 18:55:52
851a4cbf8cc6da6a2a45a449cbc0c07a3f03a1df,gfosco,2014-05-01 18:57:39
bda465352eda3841801151e9aa7645afe9a79735,gfosco,2014-05-01 22:55:58
fbbd3edd7d34536b6d7b16d1f099e059b6f81d22,yguedidi,2014-05-02 06:12:19
fc24820d5bee475aea0b3936ebd4c4e7f109209a,gfosco,2014-05-02 16:08:19
40549427e5cb68ff59005aba894a65773eb7d7c0,bartekn,2014-05-05 19:26:36
69d7703007e610b2a184febe81f35718f6ee4de5,gfosco,2014-05-05 20:42:02
e2fbbeeffee56b9c83ac8c177146531e3c84ee81,gfosco,2014-05-05 23:49:44
3a75fe1ed75e0ea991244496e936e1094b438a47,yguedidi,2014-05-06 11:47:03
b06378a68b7c4bebcc0b926ca20ceb1365715a29,gfosco,2014-05-06 17:04:36
0b08082b03857f08134bcde327a068a656973434,yguedidi,2014-05-07 09:55:46
a6578da45c42105bcaeb5b64a5ad09caf32cd5b4,SammyK,2014-05-06 20:53:03
38abc1fb2f73d6d6276c2bfa2be87698093d1676,gfosco,2014-05-07 16:21:54
946a7228e64a53543463d323c545f043305c5bc8,gfosco,2014-05-07 16:28:03
a538acb8f8801571626d747686bdd4b9d3e8be8c,gfosco,2014-05-07 21:51:08
086840bb6079add5079397e67ee1e09c9bc63932,bartekn,2014-05-06 17:10:18
6ef64ad8116f33a750ab29cb89c6ab235d91dcfc,gfosco,2014-05-07 22:02:06
d678c80eba207560060e9baf08d66e9e3255a3b0,SammyK,2014-05-08 14:54:08
bb36992737e6426244d38b5a22b6037c90445e18,wlepinski,2014-05-09 12:53:34
37ec0e4ad823b320e4e95540c472d2509856fa21,SammyK,2014-05-06 16:15:55
0066fd32720c1742b365cafbc2a6d990d5381f3c,gfosco,2014-05-10 05:22:59
13d8f00d7cbef646bca637f0cdd0badf133963ab,gfosco,2014-05-10 05:25:03
32746d88e0e87c9986ea5ae3f28f901c0ca069d1,danielegrosso,2014-05-12 13:07:06
724629d6c7b2972e0cf68b2e79c53e95f936a75d,danielegrosso,2014-05-12 18:13:51
a7ad1042887977351943cd1d4832a84f0975d8e1,yguedidi,2014-05-13 10:14:05
a3fb456db59f40df41b15d8b0d5ae1cc306925cd,dfabulich,2014-05-13 22:52:26
468cb3cdaf1a85363f27ad176b480ac6144be3e2,gfosco,2014-05-14 17:27:04
440e974d913b31da80dd2916f627bda7503295df,gfosco,2014-05-14 17:49:05
e57eed1d3a7fcf07f58b7cb847577f465e1db0df,gfosco,2014-05-14 17:52:05
3af4a6dbe4a61e7fe8213f4c6151182279ec40eb,yguedidi,2014-05-15 11:58:48
3d96359b3b111f7a91b2b52f34fecdcfddfc0171,gfosco,2014-05-15 16:17:43
0d7178dd3295f0dddc578229c8c8fcd417112f74,gfosco,2014-05-15 21:09:11
0a1804a2159658b6fa5564368da42af6312f8d44,gfosco,2014-05-15 22:00:15
5754d4c740af29d269030a739b06e5834ff30c2f,gfosco,2014-05-15 22:43:17
ace5be41cf441f214ceaab95072064fea48b53e8,DaMouse404,2014-05-09 07:28:15
595512b38c9e487d004eac0a6493be29219fc7d3,gfosco,2014-05-16 16:38:36
c24ff5b36d116b76dc06ada80909acb0ae9d8854,gfosco,2014-05-16 17:26:00
e9dbaa35e6bd01ab4401ed5bb400a53fd92ae4fe,gfosco,2014-05-16 17:51:34
8eb1f7c894d04bed19c391ce86520007f207bd74,gfosco,2014-05-16 17:52:47
82d068a57a9a80c018c7d0304fc8223066bd4141,buzzedword,2014-05-16 23:36:14
d4418265a4b08b2403585eea57acef839130cef1,gfosco,2014-05-16 23:51:37
4ee07097c1efcaa55765bcac9c831372f1468fc8,ahsanity,2014-05-17 14:43:00
940a24ee0f8158a1b2ce1d177533ac9263477c71,gfosco,2014-05-18 22:46:17
a65334bbaf5dd5ae07d71f4b2197d5feefcf405c,gfosco,2014-05-18 22:47:16
8c299cd0212586026b1fea2743995df1653993e0,gfosco,2014-05-18 22:48:54
e824b41f4467711d0ac6a8b5d7e9a6e1c2dcf69f,gfosco,2014-05-18 22:50:20
5a12093ca1eae5b6bd92c4fa50e0273284523c18,SammyK,2014-05-18 23:54:41
cb3116865e2f4e2a353cef05d777216814a98111,gfosco,2014-05-19 00:59:03
80408b34d56be12483e1b7fd651b33d7b85f4705,gfosco,2014-05-19 18:32:15
8a23c3aa7e13bb449e0d4b9a5b7c0ab4597cf402,gfosco,2014-05-19 18:32:42
0a34085dee67f6b55fb6dd1987d42265cc9b57ec,gfosco,2014-05-19 18:40:33
a6df4db1940c92c9edc6dd004ad6436f6658b98a,gfosco,2014-05-19 20:54:05
6d05b49de685f824ab14af711f7ed94f39958176,gfosco,2014-05-19 20:56:27
9100141a0b7493a1a2d63244d265611d1955b25b,SammyK,2014-05-19 21:55:26
89d288b0e16076d4f77d9cd0e557b19cf3c7300f,danielegrosso,2014-05-19 22:41:05
902acf58f323cfa289ea3c4266b352f8e8647f3b,danielegrosso,2014-05-19 23:12:39
55a17e9e48a568fc66182651118d8fe44b6c3d43,danielegrosso,2014-05-19 23:17:44
4cf6d0dc61822614e65e1e39a85dadfe1caccc4a,gfosco,2014-05-19 23:51:41
1793107286d5c77dbe37d8114fd8f5e3d4651c91,gfosco,2014-05-19 23:56:07
bdf5859dd84d2fac489087a1d91b2f12cf3972e9,SammyK,2014-05-20 12:32:38
db3109d2d165813938d720b486aa64a04f6aa347,gfosco,2014-05-20 22:21:16
6c934a9ec3c8ba4a2090cd5a574e210d48d65847,gfosco,2014-05-20 22:56:48
7c000553cf0b0b1454016912031772f187f1f4e6,gfosco,2014-05-20 22:58:18
9bac482f4ba2318a62b21bccb92ef7551ef66f37,gfosco,2014-05-20 23:28:41
7c4fa51bb8a82970f21fcd2f2dce35d78a4c6bed,gfosco,2014-05-20 23:29:38
8f2fb25319ed4a594a54f5949b3fa0d41f9bed13,gfosco,2014-05-21 05:24:54
14bdf335530345faff1d6a796189dc902a54b162,gfosco,2014-05-21 05:26:30
413b1e2f661f457c579036d13c67b0ee32db849c,SammyK,2014-05-28 21:01:36
1b77bfc0edd65b85751abbd31a16def97ab665b0,SammyK,2014-05-27 20:20:01
9e733e728b11997ee58904de70153d1cf14b59d9,gfosco,2014-05-30 17:07:43
7b8ac58624f85733c1c2e331570a9bf4cd0aab62,gfosco,2014-05-31 06:46:39
a9545b8d1a6cf69c22ba6006b3de77806dfbce79,gfosco,2014-05-31 19:02:33
d4d2b12a0127b503d0c0bcdfd63088a7ae8cf0a8,gfosco,2014-05-31 19:03:53
217dbcdf423c25136ede75bbf4373ff5ccfcedcd,gfosco,2014-05-31 19:20:04
b576c1e1e7df81b03480b73402176ef64973584d,gfosco,2014-05-31 19:20:28
b1643bae307d833d75e1836e5600c00d2d2e8c29,irfanevrens,2014-05-31 20:45:58
d8b2bcb8250fdce1861f11f9206174bfd3c87031,gfosco,2014-05-31 21:51:06
eca7603cdbc1a09babef82752827af724bbad487,arturluizbr,2014-06-03 18:06:55
4be7024d7beeac94299aaabbd078fd9dcac32f7d,SammyK,2014-06-10 20:25:12
583016d3232babbc28b8913a9946578bc40d4362,gfosco,2014-06-10 20:38:58
829e487dd7c0d20afae107fbf9302ea246e2f13b,gfosco,2014-06-10 20:39:11
4d77aa2fe57a3777040d6a60aa31fbe7465cb4ca,gfosco,2014-06-10 20:42:16
b550927c5a6eb8d40768e40cb7ac1d93d93e2a00,niraj-shah,2014-06-11 14:47:13
3372704b53d92332f4b47615808567cd9422d270,gfosco,2014-06-11 19:42:33
81597f9d851fde84f00db973bcff889851021802,arturluizbr,2014-06-13 22:38:22
5733f55bb682e74dc9e846c0b233bcf887e47f32,gfosco,2014-06-13 22:46:32
e002ad75f356eddc26a1761dd8e36984d2d2bc2a,SammyK,2014-06-14 20:47:20
c9d0671861bd551051a541fd55f28860b48281bc,gfosco,2014-06-16 17:49:47
25604b6692741988a97da9f4508842ca1c3f5be3,SammyK,2014-06-16 20:37:41
52dd953f9fbf810e1456b89ec5459fd4ce7feaad,gfosco,2014-06-16 21:49:26
cb616218eaaebef76c6b0934e1ada4121e261702,gfosco,2014-06-16 21:51:02
c16a66c79eaf76b757c820795b63263b3d14299a,Ashpants,2014-06-16 22:14:44
487e623a335e093b7ebf79ad2199e2f4f8bfd012,gfosco,2014-06-16 22:25:55
fc0ab20cbd50f3cc74acc0101bf41e3495ab92e0,itsgoingd,2014-06-17 14:13:10
5c986ef2f68a25f735fd11fdbcacce8b1d39deee,gfosco,2014-06-17 23:04:13
24a51fb2c17c8e593c8a3b9fdd892b7e4e21b573,gfosco,2014-06-17 23:05:02
eb58eb79810d662a18b8fe3365b271473dd71b00,SammyK,2014-06-24 23:13:10
ceb0e69f48c884cc96f8d1de3b7e1e668378554b,gfosco,2014-06-25 22:05:05
e659b60c94ddd89fdbc8d98bbe1fe29bfe58875d,sarciszewski,2014-06-25 22:38:54
ebcf8c56dfb15ea27f7cf31599fb2a0f5859a659,gfosco,2014-06-26 03:47:32
c87d89c2339c346fbc90f27c792ffd5cd7ce5224,SammyK,2014-06-27 10:56:49
a20dc24e0536ba7332f79b74c5a4deb45fa998f8,gfosco,2014-06-27 11:59:52
9a856cb77a018bcc775a86eb5478eae2e72082c3,yguedidi,2014-07-03 13:17:00
4f26104ed13b9662da58d2ca6bec2c112dfc858c,gfosco,2014-07-03 17:26:35
2e9035784f50ad36ae761ae5d1320c6b9d0cf787,yguedidi,2014-07-03 18:07:56
1c7d072f234ea9f0418f226a842414c4f1356a95,yguedidi,2014-07-03 18:08:06
a417ea0ae61fad14abab6b81728b79e8a912a082,yguedidi,2014-07-03 19:19:20
7c1b4b847ecbc1879a5977092490ded8cc129450,yguedidi,2014-07-03 19:46:25
717c21a66ac3f4fdbfbfb494f2cbfab82b192ea6,yguedidi,2014-07-03 19:48:21
56d40c32400bcf36d41d4224bfee1406c5dba962,gfosco,2014-07-04 00:25:01
77059e08ed83386bdfcb33b0c29845735c3c6418,gfosco,2014-07-04 00:26:10
