user_id,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21
Ionitron,1,0,0,0,0,0,0,0,0
jbavari,0,1,0,0,0,0,0,0,0
perrygovier,0,1,9,5,0,0,0,0,1
