durations,datelimits
34.0,2013-09-17/2013-10-21
13.0,2013-11-29/2013-12-12
11.0,2013-08-14/2013-08-25
10.0,2013-10-26/2013-11-05
12.0,2014-03-15/2014-03-27
11.0,2014-06-02/2014-06-13
17.0,2014-10-20/2014-11-06
31.0,2014-11-09/2014-12-10
25.0,2014-12-10/2015-01-04
21.0,2015-01-04/2015-01-25
38.0,2015-02-24/2015-04-03
38.0,2015-07-22/2015-08-29
49.0,2015-12-21/2016-02-08
23.0,2015-10-25/2015-11-17
21.0,2016-04-26/2016-05-17
17.0,2016-06-04/2016-06-21
100.0,2016-07-27/2016-11-04
62.0,2016-11-22/2017-01-23
40.0,2017-02-01/2017-03-13
100.0,2017-03-13/2017-06-21
57.0,2017-07-04/2017-08-30
