dev;breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
eugeneo;24.912099276111686;2.264736297828335;2.264736297828335;0.0;0.0;0.0;0.0;0.0;0.0;0.0
evanlucas;36.792;2.628;2.628;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jasnell;51.427680798004985;5.688902743142145;5.688902743142145;0.0;0.0;0.0;0.0;0.0;0.0;0.0
chrisdickinson;8.909448818897637;1.437007874015748;1.437007874015748;0.2874015748031496;0.2874015748031496;0.0;0.0;0.0;0.0;0.0
bzoz;19.394599303135887;1.2717770034843205;1.2717770034843205;0.0;0.0;0.0;0.0;0.0;0.0;0.0
vsemozhetbyt;49.48589626933576;2.989080982711556;2.989080982711556;0.0;0.0;0.0;0.0;0.0;0.0;0.0
devsnek;49.92007104795737;3.241563055062167;3.241563055062167;0.0;0.0;0.0;0.0;0.0;0.0;0.0
brendanashworth;8.038038038038037;1.4614614614614614;1.4614614614614614;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ZYSzys;63.1203007518797;4.116541353383458;4.116541353383458;0.0;0.0;0.0;0.0;0.0;0.0;0.0
lpinca;32.889566395663955;2.9674796747967482;2.9674796747967482;0.0;0.0;0.0;0.0;0.0;0.0;0.0
JacksonTian;9.871886120996441;1.5587188612099645;1.5587188612099645;0.0;0.0;0.0;0.0;0.0;0.0;0.0
danbev;58.678474114441414;3.6466848319709353;3.6466848319709353;0.0;0.0;0.0;0.0;0.0;0.0;0.0
gengjiawen;58.15934065934066;6.016483516483516;6.016483516483516;8.021978021978022;4.010989010989011;0.0;4.010989010989011;0.0;0.0;0.0
mhdawson;54.1254752851711;3.932192648922687;3.932192648922687;0.0;0.0;0.0;0.0;0.0;0.0;0.0
gireeshpunathil;9.710095497953615;1.2448840381991815;1.2448840381991815;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cjihrig;53.414634146341456;3.3914053426248545;3.3914053426248545;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jbergstroem;37.16178521617852;2.03626220362622;2.03626220362622;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ryzokuken;27.39514348785872;3.222958057395144;3.222958057395144;0.0;0.0;0.0;0.0;0.0;0.0;0.0
maclover7;38.14549180327869;7.479508196721311;7.479508196721311;0.0;0.0;0.0;0.0;0.0;0.0;0.0
saghul;11.5689381933439;0.5784469096671949;0.5784469096671949;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TimothyGu;23.154185022026432;2.251101321585903;2.251101321585903;0.32158590308370044;0.32158590308370044;0.0;0.0;0.0;0.0;0.0
trevnorris;19.48926291352293;2.3302379570516543;2.3302379570516543;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ChALkeR;16.756487025948104;2.914171656686627;2.914171656686627;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BethGriggs;10.478468899521532;1.3971291866028708;1.3971291866028708;0.0;0.0;0.0;0.0;0.0;0.0;0.0
zkat;8.076374018558173;0.7815845824411135;0.7815845824411135;0.0;0.0;0.0;0.0;0.0;0.0;0.0
apapirovski;37.004608294930875;3.364055299539171;3.364055299539171;0.0;0.0;0.0;0.0;0.0;0.0;0.0
vkurchatkin;15.29940119760479;2.18562874251497;2.18562874251497;0.0;0.0;0.0;0.0;0.0;0.0;0.0
silverwind;18.70625;2.5093750000000004;2.5093750000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Fishrock123;30.638686131386862;2.442214111922141;2.442214111922141;0.0;0.0;0.0;0.0;0.0;0.0;0.0
othiym23;15.964214711729623;2.9025844930417497;2.9025844930417497;0.0;0.0;0.0;0.0;0.0;0.0;0.0
oyyd;27.406143344709896;4.982935153583617;4.982935153583617;0.0;0.0;0.0;0.0;0.0;0.0;0.0
watilde;14.174757281553399;2.53120665742025;2.53120665742025;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mcollina;27.92349726775956;1.9945355191256828;1.9945355191256828;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Trott;67.84213876511775;5.3437301082113295;5.3437301082113295;0.23233609166136215;0.23233609166136215;0.0;0.0;0.0;0.0;0.0
mmarchini;29.579510703363916;3.3486238532110093;3.3486238532110093;0.0;0.0;0.0;0.0;0.0;0.0;0.0
addaleax;68.34042553191489;3.882978723404255;3.882978723404255;0.0;0.0;0.0;0.0;0.0;0.0;0.0
gabrielschulhof;33.804755944931166;1.8272841051314144;1.8272841051314144;0.0;0.0;0.0;0.0;0.0;0.0;0.0
shisama;29.901129943502823;5.155367231638418;5.155367231638418;0.0;0.0;0.0;0.0;0.0;0.0;0.0
tniessen;38.07553956834532;3.9388489208633093;3.9388489208633093;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MylesBorins;61.33308439133682;2.725914861837192;2.725914861837192;0.0;0.0;0.0;0.0;0.0;0.0;0.0
starkwang;21.726190476190478;2.7157738095238098;2.7157738095238098;0.5431547619047619;0.5431547619047619;0.0;0.0;0.0;0.0;0.0
yorkie;8.209934395501406;2.0524835988753516;2.0524835988753516;0.0;0.0;0.0;0.0;0.0;0.0;0.0
richardlau;21.367281475541297;1.756214915797915;1.756214915797915;0.0;0.0;0.0;0.0;0.0;0.0;0.0
indutny;31.81025896414343;3.6354581673306776;3.6354581673306776;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mscdex;19.179703168872845;2.6353790613718413;2.6353790613718413;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bengl;15.435323383084578;2.1185737976782755;2.1185737976782755;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bnoordhuis;33.46117867165576;2.6177112566261305;2.6177112566261305;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AndreasMadsen;12.56340579710145;1.3224637681159421;1.3224637681159421;0.0;0.0;0.0;0.0;0.0;0.0;0.0
gibfahn;33.24974411463664;2.9887410440122824;2.9887410440122824;0.0;0.0;0.0;0.0;0.0;0.0;0.0
hashseed;15.53960396039604;0.3613861386138614;0.3613861386138614;0.0;0.0;0.0;0.0;0.0;0.0;0.0
lance;8.171641791044776;1.021455223880597;1.021455223880597;0.0;0.0;0.0;0.0;0.0;0.0;0.0
refack;52.577380952380956;5.648809523809524;5.648809523809524;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ofrobots;23.44905905256327;3.079169370538611;3.079169370538611;0.0;0.0;0.0;0.0;0.0;0.0;0.0
rvagg;46.67878528656972;2.653977758768178;2.653977758768178;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BridgeAR;60.66620879120879;5.51510989010989;5.51510989010989;0.0;0.0;0.0;0.0;0.0;0.0;0.0
fhinkel;23.316953316953317;2.6904176904176906;2.6904176904176906;0.0;0.0;0.0;0.0;0.0;0.0;0.0
srl295;11.680000000000001;0.8984615384615385;0.8984615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0
joaocgreis;21.571524513096037;1.7159167226326393;1.7159167226326393;0.0;0.0;0.0;0.0;0.0;0.0;0.0
joyeecheung;65.6135629709365;5.107642626480087;5.107642626480087;0.0;0.0;0.0;0.0;0.0;0.0;0.0
guybedford;25.39644012944984;1.7718446601941749;1.7718446601941749;0.0;0.0;0.0;0.0;0.0;0.0;0.0
thefourtheye;24.048316251830162;2.67203513909224;2.67203513909224;0.0;0.0;0.0;0.0;0.0;0.0;0.0
santigimeno;14.842497136311568;1.6723940435280642;1.463344788087056;0.20904925544100803;0.20904925544100803;0.20904925544100803;0.20904925544100803;0.0;0.0;0.0
seishun;10.043446777697321;1.5858073859522086;1.5858073859522086;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sam-github;25.67080378250591;2.157210401891253;2.157210401891253;0.0;0.0;0.0;0.0;0.0;0.0;0.0
targos;51.32454488386692;5.957313245448839;5.957313245448839;0.0;0.0;0.0;0.0;0.0;0.0;0.0
