dev;sleepings;hibernatings;deads
eugeneo;[29, 29, 45, 36, 52, 160];[];[]
evanlucas;[46, 24, 16, 35, 30, 51, 61, 61, 372];[];[]
jasnell;[76, 19, 9, 13, 22, 12, 14, 32, 23, 12, 12, 13, 15, 11, 8, 11, 10, 11, 20, 11, 61, 32, 21, 62, 41];[];[]
chrisdickinson;[162, 197, 41, 355, 861];[289];[]
bzoz;[57, 49, 57, 91];[];[]
vsemozhetbyt;[53, 120, 26, 29, 26, 10, 10, 8, 14];[];[]
devsnek;[30, 14, 16, 22, 42];[];[]
brendanashworth;[47, 48, 654, 707];[];[]
ZYSzys;[17, 28, 38];[];[]
lpinca;[143, 62, 23, 35, 32, 39, 33, 29, 154, 39, 42, 20];[];[]
JacksonTian;[174, 100, 97, 313, 151, 257];[];[]
danbev;[22, 20, 10, 21, 9, 38, 13, 34, 16, 28, 42];[];[]
gengjiawen;[16, 20, 8, 7, 36];[13, 16];[]
mhdawson;[20, 20, 21, 13, 12, 19, 12, 12, 19, 12, 9, 8, 9, 11, 13, 15, 20];[];[]
gireeshpunathil;[257, 67, 81, 42, 90];[];[]
cjihrig;[63, 78, 27, 20, 19, 17, 24, 34, 26, 14, 18, 15, 14, 18, 17, 9];[];[]
jbergstroem;[41, 42, 63, 944];[];[]
ryzokuken;[15, 22, 27, 70];[];[]
maclover7;[24, 14, 11, 12, 8, 9, 94, 15, 113, 184];[];[]
saghul;[1042];[];[]
TimothyGu;[105, 57, 27, 25, 36, 43, 212];[173];[]
trevnorris;[397, 78, 46, 26, 28, 37, 42, 76, 51, 202, 434];[];[]
ChALkeR;[73, 153, 71, 35, 29, 69, 51, 46, 255, 38, 81, 125];[];[]
BethGriggs;[209, 130, 194, 96];[];[]
zkat;[145, 223, 153];[];[]
apapirovski;[12, 17, 37, 63, 35, 62];[];[]
vkurchatkin;[80, 222, 1175];[];[]
silverwind;[19, 44, 41, 29, 32, 56, 58, 104, 92, 98, 221];[];[]
Fishrock123;[15, 22, 9, 23, 26, 18, 12, 11, 28, 51, 85];[];[]
othiym23;[124, 133, 55, 1122];[];[]
oyyd;[41, 115, 61, 34];[];[]
watilde;[219, 190, 83, 27, 42, 74, 79, 251, 103, 88];[];[]
mcollina;[197, 122, 81, 35, 22, 25, 24, 42];[];[]
Trott;[28, 9, 8, 10, 5, 4, 5, 4, 7, 4, 3, 3, 3, 3, 4, 5, 5, 3, 9, 7, 7, 4, 6];[78];[]
mmarchini;[61, 41, 33, 17, 32, 37];[];[]
addaleax;[125, 41, 47, 12, 12, 12, 15, 8, 8, 7, 7, 8, 10, 11, 14];[];[]
gabrielschulhof;[73, 22, 35, 40];[];[]
shisama;[18, 29, 116, 46, 60];[];[]
tniessen;[26, 21, 24, 63, 23, 15, 12, 26, 53];[];[]
MylesBorins;[13, 29, 14, 10, 9, 14, 14, 18, 20, 28];[];[]
starkwang;[19, 19, 27, 46, 61];[28];[]
yorkie;[139, 90, 81, 67, 340, 656];[];[]
richardlau;[167, 112, 59, 18, 19, 13];[];[]
indutny;[202, 21, 22, 22, 16, 12, 10, 17, 32, 31, 32, 51, 49, 228, 68, 44, 38, 51, 62, 33];[];[]
mscdex;[148, 658, 94, 34, 31, 47, 9, 9, 13, 21, 21, 19, 18, 59, 36, 160, 45, 57];[];[]
bengl;[69, 79, 59, 46, 209, 109, 280];[];[]
bnoordhuis;[293, 146, 143, 107, 28, 23, 15, 14, 17, 14, 21, 17, 32, 15, 10, 9, 11, 13, 9, 13, 10, 10, 95];[];[]
AndreasMadsen;[245, 88, 152, 251];[];[]
gibfahn;[35, 18, 17, 12, 22, 15, 166, 259];[];[]
hashseed;[132];[];[]
lance;[161, 156, 235];[];[]
refack;[21, 12, 11, 9, 39, 80, 52, 48, 12, 11, 22, 21, 16];[];[]
ofrobots;[31, 72, 54, 110, 28, 20, 19, 15, 28, 17, 79, 39, 58];[];[]
rvagg;[110, 29, 42, 34, 18, 13, 31, 29, 22, 20, 21, 36, 27, 15, 35, 28, 56];[];[]
BridgeAR;[16, 18, 25, 23, 12, 12, 32, 16, 28, 15, 8];[];[]
fhinkel;[29, 43, 120, 61, 58, 250];[];[]
srl295;[111, 143, 111, 161];[];[]
joaocgreis;[55, 56, 84, 60, 62, 106, 90];[];[]
joyeecheung;[39, 18, 45, 39, 15, 11, 8, 9, 7, 8, 8, 12, 18];[];[]
guybedford;[81, 48, 26];[];[]
thefourtheye;[25, 22, 16, 14, 18, 28, 37, 154, 72, 108];[];[]
santigimeno;[38, 60, 166, 18, 37, 22, 70, 252, 268];[175, 43];[]
seishun;[434, 72, 48, 40, 79, 277];[];[]
sam-github;[233, 166, 43, 47, 26, 17, 175, 156, 31, 13];[];[]
targos;[35, 57, 29, 53, 39, 43, 17, 17, 24, 17, 12, 19, 9, 12, 14, 9, 8, 15, 13, 10, 8, 28, 11, 14, 17, 14];[];[]
