dev;username;sleepings;hibernatings;deads
61641;lexmag;[140, 69, 42, 24, 26, 17, 11, 8, 10, 11, 16, 13, 25, 28, 43, 70, 197];[40, 74];[]
153560;antipax;[175, 44, 57, 53, 54, 112, 463];[48, 95];[]
362299;fishcakez;[142, 97, 104, 56, 144, 289];[];[]
1831523;whatyouhide;[85, 70, 78, 31, 27, 12, 36, 19, 46, 68];[37];[]
8150;josevalim;[108, 14, 10, 7, 16, 13, 17, 8, 8, 4, 6, 4, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 5, 4, 3, 3, 5, 3, 3, 4, 5, 8, 4, 3, 3, 3, 3, 3, 4, 11, 7, 8, 7, 9, 8, 11, 4, 3, 3, 3, 3, 4, 4, 11, 9];[3, 3, 4, 4];[]
3072221;gusaiani;[301];[58, 53, 177, 121];[]
2812;yrashk;[310, 84, 72, 18, 35, 29, 26, 52, 39, 1469, 235];[102, 181];[]
7570641;devonestes;[184];[];[]
3281931;michalmuskala;[266, 181, 38, 33, 39, 21, 31, 55, 62, 30, 32, 26, 87];[];[]
1774755;ggcampinho;[81, 85, 69];[];[]
5641796;eksperimental;[117, 75, 102, 28, 28, 12, 15, 17, 50, 299, 31, 39];[14, 26];[]
74703;fertapric;[49, 43, 34, 12, 13, 18];[11];[]
24110;wojtekmach;[146, 72, 98, 51, 58];[];[]
2831;alco;[56, 45, 38, 25, 70, 58, 40, 32, 108, 558];[173, 60, 96, 30];[]
259217;ericmj;[78, 25, 28, 9, 11, 30, 26, 38, 37, 49, 23, 21, 17, 99, 57, 37, 56, 42];[13];[]
