durations,datelimits
71.0,2013-01-03/2013-03-15
98.0,2013-03-15/2013-06-21
40.0,2013-07-29/2013-09-07
45.0,2013-09-07/2013-10-22
33.0,2013-11-01/2013-12-04
27.0,2014-03-16/2014-04-12
18.0,2014-06-09/2014-06-27
28.0,2014-08-30/2014-09-27
33.0,2014-09-28/2014-10-31
45.0,2014-11-09/2014-12-24
33.0,2015-05-05/2015-06-07
27.0,2016-05-03/2016-05-30
187.0,2015-09-22/2016-03-27
147.0,2016-07-06/2016-11-30
49.0,2016-11-30/2017-01-18
53.0,2017-03-04/2017-04-26
44.0,2017-08-26/2017-10-09
184.0,2018-02-06/2018-08-09
75.0,2018-08-09/2018-10-23
77.0,2018-11-10/2019-01-26
145.0,2019-01-26/2019-06-20
