durations,datelimits
68.0,2014-09-02/2014-11-09
59.0,2015-03-04/2015-05-02
39.0,2015-08-03/2015-09-11
18.0,2015-09-20/2015-10-08
10.0,2015-11-30/2015-12-10
9.0,2015-10-27/2015-11-05
17.0,2016-03-12/2016-03-29
8.0,2016-04-06/2016-04-14
16.0,2016-05-11/2016-05-27
8.0,2016-05-02/2016-05-10
13.0,2016-10-13/2016-10-26
4.0,2017-05-06/2017-05-10
4.0,2017-06-06/2017-06-10
4.0,2017-11-23/2017-11-27
3.0,2017-10-09/2017-10-12
3.0,2017-11-16/2017-11-19
3.0,2017-11-19/2017-11-22
3.0,2018-01-15/2018-01-18
6.0,2018-02-12/2018-02-18
9.0,2018-03-12/2018-03-21
5.0,2018-08-10/2018-08-15
4.0,2018-10-11/2018-10-15
3.0,2018-08-30/2018-09-02
3.0,2018-10-17/2018-10-20
3.0,2018-11-21/2018-11-24
3.0,2018-12-07/2018-12-10
6.0,2018-12-21/2018-12-27
4.0,2019-01-04/2019-01-08
