durations,datelimits
30.0,2012-05-22/2012-06-21
56.0,2012-10-04/2012-11-29
33.0,2012-06-21/2012-07-24
97.0,2013-06-06/2013-09-11
40.0,2013-09-27/2013-11-06
14.0,2013-09-13/2013-09-27
10.0,2014-01-03/2014-01-13
10.0,2014-03-29/2014-04-08
11.0,2014-04-08/2014-04-19
11.0,2014-04-27/2014-05-08
20.0,2014-09-25/2014-10-15
15.0,2014-11-27/2014-12-12
18.0,2014-12-20/2015-01-07
21.0,2015-01-09/2015-01-30
116.0,2016-03-01/2016-06-25
110.0,2016-06-27/2016-10-15
123.0,2016-10-15/2017-02-15
413.0,2017-02-23/2018-04-12
434.0,2018-04-12/2019-06-20
