durations,datelimits
33.0,2011-12-04/2012-01-06
17.0,2012-02-14/2012-03-02
18.0,2012-04-05/2012-04-23
9.0,2012-06-06/2012-06-15
10.0,2012-08-01/2012-08-11
24.0,2012-09-21/2012-10-15
10.0,2012-12-23/2013-01-02
9.0,2013-05-29/2013-06-07
8.0,2013-07-08/2013-07-16
46.0,2013-09-12/2013-10-28
14.0,2013-12-23/2014-01-06
22.0,2014-04-10/2014-05-02
12.0,2014-05-13/2014-05-25
35.0,2014-06-04/2014-07-09
77.0,2014-08-20/2014-11-05
27.0,2014-11-12/2014-12-09
69.0,2015-05-20/2015-07-28
103.0,2016-07-12/2016-10-23
198.0,2015-09-19/2016-04-04
362.0,2018-06-23/2019-06-20
64.0,2017-12-08/2018-02-10
164.0,2016-10-23/2017-04-05
