durations,datelimits
14.0,2012-11-05/2012-11-19
10.0,2014-11-21/2014-12-01
4.0,2014-07-31/2014-08-04
4.0,2014-08-29/2014-09-02
12.0,2014-12-24/2015-01-05
4.0,2015-01-16/2015-01-20
4.0,2015-03-05/2015-03-09
4.0,2015-05-01/2015-05-05
4.0,2015-05-22/2015-05-26
5.0,2015-07-01/2015-07-06
11.0,2015-07-09/2015-07-20
6.0,2015-07-21/2015-07-27
13.0,2015-09-01/2015-09-14
11.0,2015-09-24/2015-10-05
13.0,2015-10-14/2015-10-27
17.0,2015-11-13/2015-11-30
41.0,2015-12-04/2016-01-14
67.0,2016-02-08/2016-04-15
122.0,2016-04-15/2016-08-15
72.0,2016-08-15/2016-10-26
98.0,2016-12-06/2017-03-14
828.0,2017-03-14/2019-06-20
