mastahyeti,7,12,22,0.22727272727272727
brblck,9,4,62,77,0.06493506493506493
charliesome,1,1.0
bswinnerton,91,92,0.021739130434782608
gjtorikian,375,376,0.005319148936170213
cjoudrey,1,1.0
rmosolgo,3,6,228,238,0.01680672268907563
