"[9, '2017-09-01/2017-09-10']","['sot', 9, '2017-09-01/2017-09-10']"
"[24, '2017-09-17/2017-10-11']","['sot', 24, '2017-09-17/2017-10-11']"
"[26, '2017-10-29/2017-11-24']","['sot', 26, '2017-10-29/2017-11-24']"
"[26, '2017-12-23/2018-01-18']","['sot', 26, '2017-12-23/2018-01-18']"
"[145, '2018-01-18/2018-06-12']","['sot', 145, '2018-01-18/2018-06-12']"
"[25, '2018-06-12/2018-07-07']","['sot', 25, '2018-06-12/2018-07-07']"
"[126, '2018-08-14/2018-12-18']","['sot', 126, '2018-08-14/2018-12-18']"
"[182, '2018-12-18/2019-06-18']","['sot', 182, '2018-12-18/2019-06-18']"
