durations;datelimits
713.0;2017-01-18/2019-01-01
24.0;2016-12-16/2017-01-09
27.0;2016-11-08/2016-12-05
14.0;2016-06-16/2016-06-30
17.0;2016-08-08/2016-08-25
17.0;2016-05-17/2016-06-03
19.0;2016-06-30/2016-07-19
24.0;2015-12-14/2016-01-07
