durations;datelimits
68.0;2018-05-24/2018-07-31
51.0;2017-03-13/2017-05-03
29.0;2017-01-22/2017-02-20
31.0;2016-12-09/2017-01-09
18.0;2016-06-20/2016-07-08
31.0;2016-09-12/2016-10-13
45.0;2016-05-06/2016-06-20
84.0;2016-01-31/2016-04-24
120.0;2015-08-19/2015-12-17
52.0;2015-06-25/2015-08-16
61.0;2015-04-14/2015-06-14
33.0;2014-09-09/2014-10-12
13.0;2014-03-04/2014-03-17
10.0;2014-01-10/2014-01-20
19.0;2013-09-27/2013-10-16
19.0;2013-05-15/2013-06-03
11.0;2013-05-01/2013-05-12
15.0;2013-03-28/2013-04-12
16.0;2013-03-03/2013-03-19
28.0;2012-10-03/2012-10-31
45.0;2012-11-09/2012-12-24
47.0;2012-05-13/2012-06-29
57.0;2012-03-03/2012-04-29
