user_id,2018-06-11,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-16,2018-06-17,2018-06-18,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25
jthoms1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dwieeb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
