dev;breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
whatyouhide;45.87431693989071;3.767455980570735;3.767455980570735;0.22161505768063144;0.22161505768063144;0.0;0.0;0.0;0.0;0.0
meh;21.13157894736842;2.8815789473684212;1.9210526315789476;0.9605263157894738;0.0;0.9605263157894738;0.0;1.9210526315789476;0.0;0.0
eksperimental;35.47423887587822;2.778103044496487;2.5644028103044496;0.21370023419203749;0.21370023419203749;0.21370023419203749;0.21370023419203749;0.0;0.0;0.0
alco;14.904718693284938;2.1529038112522687;1.987295825771325;0.662431941923775;0.3312159709618875;0.16560798548094374;0.16560798548094374;0.16560798548094374;0.0;0.0
ggcampinho;18.039538714991764;1.8039538714991763;1.8039538714991763;0.0;0.0;0.0;0.0;0.0;0.0;0.0
yrashk;19.31216931216931;5.0211640211640205;4.634920634920634;0.0;0.0;0.3862433862433862;0.3862433862433862;0.0;0.0;0.0
devonestes;8.526504941599281;0.655884995507637;0.655884995507637;0.3279424977538185;0.3279424977538185;0.0;0.0;0.0;0.0;0.0
gusaiani;10.395569620253164;0.2887658227848101;0.2887658227848101;2.021360759493671;1.4438291139240507;0.0;0.2887658227848101;0.0;0.0;0.0
mururu;17.431259044862518;1.0564399421128798;1.0564399421128798;1.0564399421128798;0.5282199710564399;0.0;0.0;0.5282199710564399;0.0;0.0
rafaelfranca;16.043956043956044;1.6043956043956042;1.2032967032967032;2.0054945054945055;0.8021978021978021;0.40109890109890106;1.2032967032967032;0.40109890109890106;0.0;0.0
wojtekmach;23.374384236453203;1.4983579638752054;1.4983579638752054;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ericmj;37.21504897595725;3.90026714158504;3.90026714158504;0.0;0.0;0.0;0.0;0.0;0.0;0.0
josevalim;50.53664072632944;3.7872892347600517;3.7872892347600517;1.0651750972762646;1.0651750972762646;0.0;0.0;0.0;0.0;0.0
fertapric;50.714285714285715;7.857142857142858;7.857142857142858;0.0;0.0;0.0;0.0;0.0;0.0;0.0
lexmag;40.00272628135224;3.184296619411123;2.985278080697928;0.0;0.0;0.1990185387131952;0.0;0.0;0.0;0.0
michalmuskala;19.971202303815694;3.1533477321814254;3.1533477321814254;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jwarwick;10.262417994376758;1.3683223992502345;1.3683223992502345;0.5131208997188379;0.5131208997188379;0.0;0.0;0.0;0.0;0.0
fxn;10.697158081705151;0.3241563055062167;0.3241563055062167;0.9724689165186501;0.9724689165186501;0.0;0.0;0.0;0.0;0.0
ericentin;12.586206896551724;2.170035671819263;1.3020214030915578;2.6040428061831156;1.7360285374554103;0.8680142687277052;0.4340071343638526;0.8680142687277052;0.0;0.0
myronmarston;8.848484848484848;1.106060606060606;0.7373737373737373;0.0;0.0;0.3686868686868687;0.0;0.0;0.0;0.0
fishcakez;15.53191489361702;1.0786052009456264;1.0786052009456264;0.0;0.0;0.0;0.0;0.0;0.0;0.0
