t413,1,1.0
koppor,5,21,3,31,59,42,40,22,12,3,88,6,75,81,52,2,71,306,921,0.021715526601520086
mlep,11,3,109,12,84,221,0.03167420814479638
matthiasgeiger,25,17,39,4,80,76,78,113,433,0.020785219399538105
mairdl,1,1.0
Siedlerchr,11,98,65,92,50,3,71,16,143,3,4,140,70,768,0.01953125
LinusDietz,20,8,21,15,6,7,80,124,159,7,141,69,658,0.019756838905775075
lenhard,210,211,0.009478672985781991
stefan-kolb,71,72,0.027777777777777776
tobiasdiez,1,1.0
davidemdot,9,10,0.2
