to;Active;Sleeping;Hibernating;Dead
Dead;0.0;0.0;-;0
Hibernating;67.98640721808879;26.932745122954604;5.0808476589566105;0.0
Sleeping;93.12335399656627;3.744224585960465;3.1324214174732643;-
Active;86.49491753863697;11.837747268359582;1.6673351930034532;-
