to;Active;Sleeping;Hibernated;Dead
Dead;8.863861019216994;8.863861019216994;-;82.272277961566
Hibernated;50.04001677872195;29.211051514300877;14.39999147438572;6.348940232591437
Sleeping;67.83675948024734;6.550507235082703;25.612733284669964;-
Active;88.41118980045567;7.63174395765138;3.9570662418929516;-
