benogle,2,13,9,15,32,75,0.12
kevinsawicki,61,27,65,23,49,3,31,262,0.03816793893129771
PeterDaveHello,1,1.0
lee-dohm,3,4,0.5
mnquintana,1,1.0
nathansobo,501,502,0.00398406374501992
maxbrunsfeld,354,355,0.005633802816901409
