durations,datelimits
87.0,2010-12-29/2011-03-26
49.0,2011-06-27/2011-08-15
51.0,2011-08-23/2011-10-13
129.0,2012-03-20/2012-07-27
46.0,2012-01-27/2012-03-13
75.0,2013-08-13/2013-10-27
40.0,2014-04-08/2014-05-18
31.0,2014-01-13/2014-02-13
68.0,2014-09-05/2014-11-12
55.0,2015-08-19/2015-10-13
54.0,2015-10-13/2015-12-06
37.0,2015-04-06/2015-05-13
36.0,2015-05-13/2015-06-18
80.0,2016-03-02/2016-05-21
51.0,2016-06-08/2016-07-29
101.0,2016-08-22/2016-12-01
35.0,2016-12-12/2017-01-16
57.0,2017-03-22/2017-05-18
123.0,2017-09-11/2018-01-12
