dev;sleepings;hibernatings;deads
manucorporat;[30, 25, 23, 39, 27, 29, 14, 12, 9, 32, 4, 4, 14, 6, 9, 7];[4, 3, 3, 7];[]
kensodemann;[56, 12, 20, 20, 14, 24, 18, 28, 17, 18, 17, 13, 27, 15];[];[]
tlancina;[102, 50, 22, 29, 31, 12, 11, 5, 7, 8, 4, 8, 26, 14, 22, 11, 21, 149, 113, 107, 71];[62, 137, 4, 18, 10, 5, 9, 101, 6];[]
mhartington;[16, 34, 18, 18, 18, 12, 12, 13, 21, 21, 15, 22, 34, 23];[];[]
jthoms1;[29, 12, 9, 12, 12, 8, 12, 10, 16, 8, 8, 11, 14, 22];[7, 8, 170];[]
mlynch;[92, 39, 8, 7, 11, 14, 14, 9, 9, 14, 21, 33, 23, 8, 7, 12, 11, 14, 8, 4, 4, 4, 4, 4, 4, 4, 7, 8, 18, 26, 20, 14, 12];[4, 5, 19, 20, 29];[]
brandyscarney;[15, 13, 6, 5, 4, 4, 4, 6, 4, 6, 5, 8, 11, 13, 8, 5, 6, 10, 12, 13, 23, 22, 10];[10, 5, 10];[]
adamdbradley;[24, 47, 13, 14, 9, 4, 7, 19, 11, 7, 9, 7, 16, 9, 7, 7, 11, 7, 4, 10, 9, 12, 8, 12, 8, 8];[5, 5, 5, 4, 13, 14, 4];[]
camwiegert;[29, 10, 8, 20];[14, 14, 26];[]
danbucholtz;[15, 13, 8, 13, 12, 28, 13, 20, 74, 23, 222];[98, 65];[]
perrygovier;[25, 19, 31, 18, 28, 13, 15, 21, 8, 10, 12, 20, 9, 6, 4, 4, 11, 12];[5, 5, 8, 11, 9, 5, 8, 4, 5, 8, 8];[]
jgw96;[25, 17, 13, 9, 16, 13, 11, 8, 284];[44];[]
drewrygh;[69, 27, 303, 20];[7, 17, 53, 82, 19, 286];[551]
