Project;Contributors;Sampled_Contributors;Sleeping;Hibernated;Dead
framework;1979;27;27;14;4
react;1301;21;21;11;3
elixir;851;21;20;12;6
linguist;765;10;9;7;2
flutter;402;45;42;19;0
atom;431;30;27;25;8
ionic;331;14;13;12;3
jabref;204;12;12;10;1
