durations;datelimits
2086;2019-02-26/2024-11-12
40;2018-11-18/2018-12-28
129;2018-07-09/2018-11-15
15;2018-04-26/2018-05-11
10;2018-04-16/2018-04-26
8;2018-04-04/2018-04-12
10;2017-10-02/2017-10-12
19;2017-11-10/2017-11-29
23;2017-10-12/2017-11-04
24;2017-09-08/2017-10-02
22;2017-06-03/2017-06-25
27;2017-05-07/2017-06-03
10;2017-01-05/2017-01-15
7;2016-10-30/2016-11-06
9;2016-07-30/2016-08-08
11;2016-08-26/2016-09-06
21;2016-06-06/2016-06-27
13;2016-05-20/2016-06-02
12;2016-05-08/2016-05-20
11;2015-09-13/2015-09-24
11;2015-08-07/2015-08-18
34;2014-11-03/2014-12-07
59;2014-08-29/2014-10-27
115;2014-12-07/2015-04-01
490;2012-11-06/2014-03-11
389;2011-06-20/2012-07-13
