durations,datelimits
146.0,2014-02-05/2014-07-01
93.0,2014-07-01/2014-10-02
98.0,2015-11-11/2016-02-17
102.0,2016-08-26/2016-12-06
55.0,2017-01-23/2017-03-19
135.0,2017-05-16/2017-09-28
63.0,2017-09-28/2017-11-30
83.0,2018-01-01/2018-03-25
106.0,2018-04-15/2018-07-30
140.0,2018-08-14/2019-01-01
