durations,datelimits
23.0,2014-11-11/2014-12-04
15.0,2015-04-14/2015-04-29
14.0,2015-05-11/2015-05-25
17.0,2015-05-29/2015-06-15
14.0,2015-07-01/2015-07-15
11.0,2015-10-10/2015-10-21
21.0,2015-12-17/2016-01-07
14.0,2016-01-19/2016-02-02
17.0,2016-03-08/2016-03-25
13.0,2016-09-08/2016-09-21
32.0,2016-12-22/2017-01-23
10.0,2017-09-08/2017-09-18
13.0,2017-11-24/2017-12-07
9.0,2017-10-15/2017-10-24
8.0,2017-10-26/2017-11-03
13.0,2017-12-25/2018-01-07
10.0,2018-01-07/2018-01-17
95.0,2018-06-22/2018-09-25
