durations,datelimits
76.0,2015-01-10/2015-03-27
19.0,2016-02-17/2016-03-07
9.0,2016-05-02/2016-05-11
13.0,2016-06-08/2016-06-21
22.0,2016-06-28/2016-07-20
12.0,2016-07-20/2016-08-01
14.0,2016-08-03/2016-08-17
32.0,2016-09-09/2016-10-11
23.0,2016-12-04/2016-12-27
12.0,2017-04-05/2017-04-17
12.0,2017-06-28/2017-07-10
13.0,2017-10-03/2017-10-16
15.0,2017-11-27/2017-12-12
11.0,2017-11-04/2017-11-15
8.0,2018-02-06/2018-02-14
11.0,2018-02-19/2018-03-02
10.0,2018-03-06/2018-03-16
11.0,2018-03-23/2018-04-03
20.0,2018-06-22/2018-07-12
11.0,2018-09-21/2018-10-02
61.0,2018-11-07/2019-01-07
32.0,2019-01-07/2019-02-08
21.0,2019-02-14/2019-03-07
62.0,2019-03-09/2019-05-10
41.0,2019-05-10/2019-06-20
