durations,datelimits
35.0,2016-11-16/2016-12-21
18.0,2017-01-25/2017-02-12
17.0,2017-03-05/2017-03-22
12.0,2017-07-04/2017-07-16
22.0,2017-07-24/2017-08-15
15.0,2017-12-05/2017-12-20
166.0,2018-04-13/2018-09-26
259.0,2018-10-04/2019-06-20
