durations,datelimits
35.0,2015-02-11/2015-03-18
57.0,2015-03-18/2015-05-14
29.0,2015-06-18/2015-07-17
53.0,2015-11-20/2016-01-12
39.0,2016-03-07/2016-04-15
43.0,2016-06-30/2016-08-12
17.0,2016-10-04/2016-10-21
17.0,2016-11-02/2016-11-19
24.0,2017-02-21/2017-03-17
17.0,2017-05-05/2017-05-22
12.0,2017-11-07/2017-11-19
19.0,2018-01-24/2018-02-12
9.0,2017-12-24/2018-01-02
12.0,2018-01-09/2018-01-21
14.0,2018-05-10/2018-05-24
9.0,2018-06-24/2018-07-03
8.0,2018-07-05/2018-07-13
15.0,2018-08-04/2018-08-19
13.0,2018-10-11/2018-10-24
10.0,2018-09-07/2018-09-17
8.0,2018-09-21/2018-09-29
28.0,2018-12-21/2019-01-18
11.0,2019-01-18/2019-01-29
14.0,2019-01-31/2019-02-14
17.0,2019-02-15/2019-03-04
14.0,2019-06-04/2019-06-18
