durations,datelimits
21.0,2013-09-06/2013-09-27
16.0,2013-12-02/2013-12-18
15.0,2014-01-19/2014-02-03
12.0,2013-11-07/2013-11-19
14.0,2014-03-11/2014-03-25
43.0,2014-09-07/2014-10-20
75.0,2015-04-26/2015-07-10
134.0,2015-07-10/2015-11-21
95.0,2015-11-21/2016-02-24
23.0,2016-10-26/2016-11-18
11.0,2017-03-20/2017-03-31
10.0,2017-04-25/2017-05-05
8.0,2017-05-22/2017-05-30
21.0,2017-07-19/2017-08-09
22.0,2017-08-15/2017-09-06
7.0,2017-09-27/2017-10-04
7.0,2017-11-22/2017-11-29
26.0,2017-12-11/2018-01-06
8.0,2018-01-11/2018-01-19
32.0,2018-03-27/2018-04-28
28.0,2018-04-28/2018-05-26
34.0,2018-08-15/2018-09-18
68.0,2018-10-05/2018-12-12
