durations,datelimits
85.0,2013-10-09/2014-01-02
51.0,2014-05-05/2014-06-25
24.0,2014-09-05/2014-09-29
18.0,2014-11-25/2014-12-13
22.0,2015-03-17/2015-04-08
10.0,2015-04-08/2015-04-18
28.0,2015-04-18/2015-05-16
19.0,2015-05-16/2015-06-04
22.0,2015-07-01/2015-07-23
28.0,2016-01-04/2016-02-01
34.0,2016-02-19/2016-03-24
18.0,2016-02-01/2016-02-19
12.0,2016-05-11/2016-05-23
11.0,2016-07-07/2016-07-18
15.0,2016-07-21/2016-08-05
21.0,2016-08-12/2016-09-02
13.0,2016-09-21/2016-10-04
29.0,2016-12-22/2017-01-20
40.0,2017-03-17/2017-04-26
21.0,2017-06-06/2017-06-27
36.0,2017-08-28/2017-10-03
38.0,2017-11-12/2017-12-20
23.0,2018-01-23/2018-02-15
18.0,2018-05-26/2018-06-13
39.0,2018-08-31/2018-10-09
54.0,2018-11-30/2019-01-23
27.0,2019-04-11/2019-05-08
