project;mean;st_dev;var;median;breaks_devlife_corr
rails;17.550600329584167;28.07498777819739;788.2049387459327;4.470776715675768;-0.3195658680050719
node;25.708231612230893;31.19011029087699;972.8229799570709;12.095098039215687;-0.33400815747714274
framework;16.41388481849887;27.954465193395546;781.452124248763;3.9964035964035967;-0.35628924210959245
react;25.16976407561937;30.003698535631326;900.2219258170453;11.40625;-0.3122399724844751
elixir;13.14229752381729;21.267132179636462;452.2909111461288;4.3025706345530335;-0.24218982923370594
linguist;25.857939946659094;32.02868070132421;1025.8363874673782;11.06060606060606;-0.372888345965508
flutter;26.86409864615634;24.333226098937093;592.1058923819933;21.262135922330096;-0.08129709366468708
atom;31.059636205797005;32.414509624018265;1050.700434165573;20.27777777777778;-0.179919100603771
ionic;23.703259424246458;23.726963467459104;562.9687953861389;10.690376569037657;0.00963182213579003
jabref;34.3755190928667;31.64257582850043;1001.2526050623997;25.433678015325263;-0.27719475175973435
