Project;Developers;10;20;30;40;50;60;70;80
rails;2484;149;66;51;48;42;39;37;35
node;1966;104;65;47;38;35;27;24;17
laravel;1503;40;15;10;9;7;6;6;5
react;1076;31;23;17;16;14;10;10;7
elixir;681;25;17;12;11;7;7;6;6
linguist;395;13;12;7;6;6;5;4;2
flutter;307;58;44;32;23;18;17;14;12
atom;276;41;33;25;21;20;17;15;11
ionic;145;11;8;7;7;6;4;4;3
jabref;139;23;17;13;10;8;7;7;6
