dev;breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
acasar;14.89795918367347;1.4897959183673468;0.9931972789115646;1.4897959183673468;0.9931972789115646;0.4965986394557823;0.0;0.9931972789115646;0.4965986394557823;0.4965986394557823
adamwathan;6.4978514426028235;0.4481276856967465;0.4481276856967465;0.22406384284837325;0.22406384284837325;0.0;0.0;0.0;0.0;0.0
franzliedke;8.055419323197645;0.8950465914664051;0.8950465914664051;0.358018636586562;0.179009318293281;0.0;0.179009318293281;0.0;0.0;0.0
staudenmeir;25.32377428307123;2.0259019426456986;2.0259019426456986;0.6753006475485661;0.0;0.0;0.0;0.6753006475485661;0.33765032377428306;0.33765032377428306
tillkruss;43.309701492537314;1.9067164179104477;1.3619402985074627;0.0;0.0;0.8171641791044776;0.27238805970149255;0.0;0.0;0.0
sileence;16.756487025948104;1.092814371257485;1.092814371257485;0.0;0.0;0.0;0.0;0.0;0.0;0.0
taylorotwell;51.67729591836734;5.276360544217687;5.276360544217687;0.15518707482993196;0.15518707482993196;0.0;0.0;0.0;0.0;0.0
Anahkiasen;5.721003134796239;0.28605015673981193;0.28605015673981193;0.5721003134796239;0.28605015673981193;0.0;0.28605015673981193;0.0;0.0;0.0
halaei;9.501795332136444;0.6552962298025135;0.6552962298025135;0.0;0.0;0.0;0.0;0.0;0.0;0.0
themsaid;47.74006622516556;5.13658940397351;5.13658940397351;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TBlindaruk;72.20652173913044;1.5869565217391306;0.7934782608695653;1.5869565217391306;1.5869565217391306;0.7934782608695653;0.0;0.0;0.0;0.0
laurencei;9.437621202327085;1.65158371040724;1.65158371040724;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GrahamCampbell;54.51898734177215;3.3265822784810126;3.3265822784810126;0.0;0.0;0.0;0.0;0.0;0.0;0.0
barryvdh;6.727315689981097;0.5174858223062382;0.5174858223062382;0.0;0.0;0.0;0.0;0.0;0.0;0.0
rkgrep;17.72482014388489;1.3129496402877698;1.3129496402877698;1.3129496402877698;0.6564748201438849;0.0;0.6564748201438849;0.0;0.0;0.0
arrilot;19.06716417910448;2.723880597014926;1.8159203980099503;0.9079601990049752;0.0;1.8159203980099503;0.9079601990049752;1.8159203980099503;0.9079601990049752;0.0
anlutro;42.34806629834254;2.016574585635359;1.0082872928176796;1.0082872928176796;0.0;2.016574585635359;1.0082872928176796;2.016574585635359;1.0082872928176796;0.0
driesvints;10.74945054945055;1.2835164835164836;1.123076923076923;0.16043956043956045;0.16043956043956045;0.16043956043956045;0.16043956043956045;0.0;0.0;0.0
vlakoff;14.210049796287914;1.3218650973291082;1.3218650973291082;0.16523313716613852;0.16523313716613852;0.0;0.0;0.0;0.0;0.0
KennedyTedesco;11.332976445396145;0.5861884368308351;0.5861884368308351;0.0;0.0;0.0;0.0;0.0;0.0;0.0
dwightwatson;6.0225;0.36500000000000005;0.36500000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0
JosephSilber;26.12591431556949;4.7675026123301985;4.7675026123301985;0.0;0.0;0.0;0.0;0.0;0.0;0.0
crynobone;14.336876155268023;1.012014787430684;1.012014787430684;0.0;0.0;0.0;0.0;0.0;0.0;0.0
lucasmichot;35.11392405063291;3.141772151898734;3.141772151898734;0.369620253164557;0.1848101265822785;0.0;0.1848101265822785;0.0;0.0;0.0
carusogabriel;13.148414985590778;1.0518731988472623;1.0518731988472623;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mnabialek;9.882671480144404;2.305956678700361;2.305956678700361;0.0;0.0;0.0;0.0;0.0;0.0;0.0
browner12;10.743609604957397;0.5654531371030209;0.5654531371030209;0.0;0.0;0.0;0.0;0.0;0.0;0.0
