dev;sleepings;hibernatings;deads
Alhadis;[83, 123, 85, 105];[];[]
tnm;[19, 11, 13, 11, 10, 19, 14, 104, 68, 30, 1100];[8, 13, 156, 25, 16, 21, 9, 33, 28, 21];[425]
josh;[11, 10, 20, 56, 182, 67, 189, 256, 323, 999];[122, 137, 90];[]
aroben;[71, 99, 606, 163, 161];[70, 317, 75];[]
vmg;[243, 98, 431, 505];[94];[483]
larsbrinkhoff;[118, 234, 43, 62, 79, 214, 100, 582];[285];[]
arfon;[46, 62, 11, 7, 13, 11, 8, 13, 14, 16, 23, 39, 202, 169, 80, 36, 47];[27, 51, 135, 81, 54, 36];[]
bkeepers;[147, 182, 122, 184, 572];[127, 245, 187];[]
pchaigno;[19, 22, 20, 29, 44, 46, 41, 73, 61, 106];[];[]
