clelland,11,12,0.16666666666666666
fujunwei,22,28,51,0.058823529411764705
agrieve,2,2,4,2,5,21,9,11,59,0.1864406779661017
jbavari,14,43,59,0.06779661016949153
dpogue,1,1.0
huningxin,1,1.0
