durations;datelimits
658.0;2017-03-14/2019-01-01
98.0;2016-12-06/2017-03-14
261.0;2016-02-08/2016-10-26
41.0;2015-12-04/2016-01-14
20.0;2015-11-11/2015-12-01
11.0;2015-09-24/2015-10-05
21.0;2015-08-31/2015-09-21
7.0;2015-07-20/2015-07-27
12.0;2015-07-08/2015-07-20
5.0;2015-07-01/2015-07-06
5.0;2015-05-01/2015-05-06
4.0;2015-02-13/2015-02-17
4.0;2015-01-16/2015-01-20
12.0;2014-12-24/2015-01-05
10.0;2014-11-21/2014-12-01
4.0;2014-10-09/2014-10-13
4.0;2014-08-29/2014-09-02
4.0;2014-07-31/2014-08-04
4.0;2014-05-23/2014-05-27
6.0;2014-05-09/2014-05-15
4.0;2014-01-23/2014-01-27
5.0;2013-12-19/2013-12-24
4.0;2013-11-28/2013-12-02
7.0;2013-12-24/2013-12-31
14.0;2012-11-05/2012-11-19
20.0;2012-11-20/2012-12-10
19.0;2012-08-23/2012-09-11
47.0;2012-06-15/2012-08-01
