durations;datelimits
43;2019-05-08/2019-06-20
90;2018-09-21/2018-12-20
27;2018-06-15/2018-07-12
15;2018-05-31/2018-06-15
18;2018-05-07/2018-05-25
86;2017-11-13/2018-02-07
39;2017-09-25/2017-11-03
84;2017-01-24/2017-04-18
550;2015-07-24/2017-01-24
316;2014-09-11/2015-07-24
74;2014-06-29/2014-09-11
