durations,datelimits
40.0,2015-12-18/2016-01-27
28.0,2016-01-27/2016-02-24
13.0,2015-09-25/2015-10-08
25.0,2016-08-26/2016-09-20
19.0,2016-06-09/2016-06-28
40.0,2017-01-06/2017-02-15
27.0,2017-03-09/2017-04-05
505.0,2017-04-16/2018-09-03
67.0,2018-12-28/2019-03-05
