user_id,2019-05-02,2019-05-03,2019-05-04,2019-05-05,2019-05-06,2019-05-07,2019-05-08,2019-05-09
Hixie,3,0,0,0,0,0,0,0
kevmoo,3,0,0,0,0,1,1,0
