"[258, '2010-09-19/2011-06-04']","['h', 239, '2010-09-19/2011-05-16']"
"[235, '2011-06-04/2012-01-25']","['sot', 103, '2011-06-04/2011-09-15']","['h', 132, '2011-10-17/2012-01-25']"
"[1018, '2012-03-17/2014-12-30']","['sot', 1018, '2012-03-17/2014-12-30']"
"[1633, '2014-12-30/2019-06-20']","['sot', 1633, '2014-12-30/2019-06-20']"
