durations;datelimits
6;2019-05-17/2019-05-23
8;2019-05-09/2019-05-17
5;2019-05-03/2019-05-08
4;2019-03-15/2019-03-19
6;2019-03-01/2019-03-07
4;2019-01-18/2019-01-22
10;2019-03-19/2019-03-29
12;2018-11-28/2018-12-10
15;2018-12-18/2019-01-02
13;2018-09-07/2018-09-20
14;2018-07-11/2018-07-25
11;2018-06-28/2018-07-09
32;2017-12-07/2018-01-08
10;2017-03-17/2017-03-27
11;2016-07-25/2016-08-05
14;2016-07-04/2016-07-18
5;2016-06-19/2016-06-24
5;2016-04-20/2016-04-25
7;2016-06-24/2016-07-01
7;2016-01-06/2016-01-13
19;2015-11-25/2015-12-14
