durations;datelimits
33;2018-06-13/2018-07-16
35;2018-08-03/2018-09-07
45;2018-04-16/2018-05-31
27;2017-07-13/2017-08-09
35;2017-06-08/2017-07-13
28;2016-02-03/2016-03-02
61;2016-12-09/2017-02-08
97;2016-08-26/2016-12-01
169;2016-03-07/2016-08-23
