durations;datelimits
20;2019-05-31/2019-06-20
9;2018-12-04/2018-12-13
8;2018-11-26/2018-12-04
8;2018-09-23/2018-10-01
12;2018-09-02/2018-09-14
9;2018-08-24/2018-09-02
9;2018-06-25/2018-07-04
14;2018-06-07/2018-06-21
11;2018-03-16/2018-03-27
16;2018-03-27/2018-04-12
7;2018-02-13/2018-02-20
28;2017-06-05/2017-07-03
39;2017-04-27/2017-06-05
41;2017-03-17/2017-04-27
92;2016-12-15/2017-03-17
80;2016-09-26/2016-12-15
261;2016-01-09/2016-09-26
211;2015-06-04/2016-01-01
297;2014-03-14/2015-01-05
458;2012-12-11/2014-03-14
