durations;datelimits
1110;2016-06-05/2019-06-20
54;2016-04-12/2016-06-05
315;2015-06-02/2016-04-12
13;2015-05-18/2015-05-31
12;2015-01-22/2015-02-03
29;2015-02-11/2015-03-12
27;2014-12-24/2015-01-20
37;2014-10-13/2014-11-19
494;2013-06-03/2014-10-10
97;2013-02-26/2013-06-03
118;2012-10-31/2013-02-26
61;2012-05-09/2012-07-09
182;2011-08-24/2012-02-22
250;2010-07-14/2011-03-21
58;2010-05-17/2010-07-14
19;2010-04-07/2010-04-26
15;2010-01-31/2010-02-15
8;2009-12-27/2010-01-04
10;2009-07-11/2009-07-21
10;2009-05-30/2009-06-09
12;2009-04-02/2009-04-14
9;2009-03-24/2009-04-02
8;2009-03-16/2009-03-24
13;2008-10-14/2008-10-27
16;2008-09-28/2008-10-14
