"[79.0, '2015-12-13/2016-03-01']","['sot', 79, '2015-12-13/2016-03-01']"
"[46.0, '2016-05-16/2016-07-01']","['sot', 46, '2016-05-16/2016-07-01']"
"[367.0, '2016-11-20/2017-11-22']","['sot', 155, '2016-11-20/2017-04-24']","['h', 197, '2017-05-23/2017-11-07']"
"[405, '2017-11-22/2019-01-01']","['h', 120, '2017-11-22/2018-03-22']","['sot', 285, '2018-03-22/2019-01-01']"
