user_id,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24,2016-10-25,2016-10-26,2016-10-27,2016-10-28
as-cii,1,0,0,0,0,0,3,2,6,2
maxbrunsfeld,0,0,0,0,0,4,0,3,1,0
nathansobo,0,0,0,0,0,0,0,3,0,0
