"[257, '2017-06-28/2018-03-12']","['sot', 257, '2017-06-28/2018-03-12']"
"[67, '2018-03-20/2018-05-26']","['sot', 67, '2018-03-20/2018-05-26']"
"[81, '2018-06-12/2018-09-01']","['sot', 81, '2018-06-12/2018-09-01']"
"[42, '2018-09-27/2018-11-08']","['sot', 42, '2018-09-27/2018-11-08']"
"[90, '2019-03-22/2019-06-20']","['sot', 90, '2019-03-22/2019-06-20']"
