durations,datelimits
94.0,2011-12-17/2012-03-20
59.0,2013-01-18/2013-03-18
98.0,2013-08-05/2013-11-11
30.0,2014-03-14/2014-04-13
22.0,2014-07-11/2014-08-02
28.0,2014-08-26/2014-09-23
27.0,2015-06-22/2015-07-19
21.0,2015-06-01/2015-06-22
24.0,2015-11-23/2015-12-17
20.0,2016-03-17/2016-04-06
44.0,2016-07-05/2016-08-18
106.0,2016-09-22/2017-01-06
69.0,2017-03-19/2017-05-27
150.0,2017-08-31/2018-01-28
118.0,2018-03-25/2018-07-21
30.0,2018-02-07/2018-03-09
155.0,2018-10-19/2019-03-23
67.0,2019-03-23/2019-05-29
22.0,2019-05-29/2019-06-20
