durations,datelimits
20.0,2011-06-27/2011-07-17
26.0,2011-11-14/2011-12-10
31.0,2012-02-01/2012-03-03
61.0,2012-04-29/2012-06-29
31.0,2012-03-29/2012-04-29
20.0,2012-07-22/2012-08-11
15.0,2012-10-09/2012-10-24
38.0,2012-11-12/2012-12-20
9.0,2012-11-03/2012-11-12
14.0,2013-03-05/2013-03-19
13.0,2013-03-30/2013-04-12
11.0,2013-05-01/2013-05-12
18.0,2013-05-15/2013-06-02
10.0,2014-01-10/2014-01-20
13.0,2014-03-04/2014-03-17
33.0,2014-09-10/2014-10-13
61.0,2015-04-14/2015-06-14
36.0,2015-07-11/2015-08-16
111.0,2015-08-28/2015-12-17
84.0,2016-01-31/2016-04-24
32.0,2016-09-11/2016-10-13
12.0,2016-11-04/2016-11-16
29.0,2016-12-11/2017-01-09
29.0,2017-01-22/2017-02-20
20.0,2017-02-21/2017-03-13
51.0,2017-03-13/2017-05-03
31.0,2018-02-24/2018-03-27
30.0,2018-04-22/2018-05-22
81.0,2018-05-24/2018-08-13
49.0,2018-08-16/2018-10-04
