durations;datelimits
22;2019-05-14/2019-06-05
13;2019-01-29/2019-02-11
26;2018-10-28/2018-11-23
28;2018-09-25/2018-10-23
56;2018-11-23/2019-01-18
38;2017-12-17/2018-01-24
34;2017-05-29/2017-07-02
54;2017-08-15/2017-10-08
38;2017-04-03/2017-05-11
38;2016-12-21/2017-01-28
18;2016-03-18/2016-04-05
24;2015-12-17/2016-01-10
43;2015-07-11/2015-08-23
15;2015-03-28/2015-04-12
11;2015-03-04/2015-03-15
6;2015-02-07/2015-02-13
5;2015-01-24/2015-01-29
4;2015-01-14/2015-01-18
4;2015-01-07/2015-01-11
9;2014-12-01/2014-12-10
21;2014-07-30/2014-08-20
21;2014-03-29/2014-04-19
13;2014-03-09/2014-03-22
17;2013-09-07/2013-09-24
27;2013-10-02/2013-10-29
19;2013-05-12/2013-05-31
11;2012-10-29/2012-11-09
15;2012-05-14/2012-05-29
13;2012-04-13/2012-04-26
9;2012-03-08/2012-03-17
8;2012-01-04/2012-01-12
11;2011-10-07/2011-10-18
7;2011-09-20/2011-09-27
8;2011-09-12/2011-09-20
7;2011-07-28/2011-08-04
9;2011-03-14/2011-03-23
13;2011-01-20/2011-02-02
11;2011-01-01/2011-01-12
5;2010-06-22/2010-06-27
6;2010-05-19/2010-05-25
6;2010-04-19/2010-04-25
7;2010-03-04/2010-03-11
7;2010-01-03/2010-01-10
15;2009-10-10/2009-10-25
14;2009-09-26/2009-10-10
9;2009-06-13/2009-06-22
15;2008-12-31/2009-01-15
18;2008-12-09/2008-12-27
