durations;datelimits
49;2018-11-20/2019-01-08
38;2016-05-21/2016-06-28
25;2016-04-22/2016-05-17
41;2016-03-04/2016-04-14
23;2015-12-19/2016-01-11
39;2015-11-04/2015-12-13
39;2015-03-26/2015-05-04
29;2014-12-30/2015-01-28
17;2014-12-13/2014-12-30
12;2014-12-01/2014-12-13
14;2014-10-16/2014-10-30
14;2014-08-14/2014-08-28
14;2014-06-12/2014-06-26
18;2013-12-21/2014-01-08
11;2013-11-16/2013-11-27
14;2013-05-22/2013-06-05
13;2013-04-17/2013-04-30
11;2013-04-06/2013-04-17
11;2012-11-15/2012-11-26
13;2012-09-27/2012-10-10
9;2012-09-11/2012-09-20
10;2012-06-01/2012-06-11
11;2011-09-13/2011-09-24
7;2011-06-10/2011-06-17
6;2011-03-30/2011-04-05
4;2011-03-17/2011-03-21
6;2011-01-22/2011-01-28
5;2010-12-27/2011-01-01
5;2010-11-24/2010-11-29
4;2010-11-11/2010-11-15
8;2010-06-17/2010-06-25
11;2010-08-25/2010-09-05
39;2010-01-26/2010-03-06
52;2010-04-17/2010-06-08
131;2009-09-17/2010-01-26
102;2009-06-03/2009-09-13
84;2009-03-11/2009-06-03
