"[108.0, '2011-11-12/2012-02-28']","['sot', 108, '2011-11-12/2012-02-28']"
"[14.0, '2012-02-28/2012-03-13']","['sot', 14, '2012-02-28/2012-03-13']"
"[10.0, '2012-05-08/2012-05-18']","['sot', 10, '2012-05-08/2012-05-18']"
"[7.0, '2012-05-21/2012-05-28']","['sot', 7, '2012-05-21/2012-05-28']"
"[16.0, '2012-10-02/2012-10-18']","['sot', 16, '2012-10-02/2012-10-18']"
"[13.0, '2012-10-19/2012-11-01']","['sot', 13, '2012-10-19/2012-11-01']"
"[17.0, '2012-12-09/2012-12-26']","['sot', 17, '2012-12-09/2012-12-26']"
"[8.0, '2013-03-18/2013-03-26']","['sot', 8, '2013-03-18/2013-03-26']"
"[8.0, '2013-03-26/2013-04-03']","['sot', 8, '2013-03-26/2013-04-03']"
"[4.0, '2013-04-16/2013-04-20']","['sot', 4, '2013-04-16/2013-04-20']"
"[6.0, '2013-09-17/2013-09-23']","['sot', 6, '2013-09-17/2013-09-23']"
"[4.0, '2013-09-25/2013-09-29']","['sot', 4, '2013-09-25/2013-09-29']"
"[3.0, '2013-04-13/2013-04-16']","['sot', 3, '2013-04-13/2013-04-16']"
"[3.0, '2013-10-04/2013-10-07']","['sot', 3, '2013-10-04/2013-10-07']"
"[3.0, '2014-03-23/2014-03-26']","['sot', 3, '2014-03-23/2014-03-26']"
"[3.0, '2014-03-28/2014-03-31']","['sot', 3, '2014-03-28/2014-03-31']"
"[3.0, '2014-04-01/2014-04-04']","['sot', 3, '2014-04-01/2014-04-04']"
"[4.0, '2014-08-23/2014-08-27']","['sot', 4, '2014-08-23/2014-08-27']"
"[4.0, '2014-09-28/2014-10-02']","['sot', 4, '2014-09-28/2014-10-02']"
"[3.0, '2014-10-02/2014-10-05']","['sot', 3, '2014-10-02/2014-10-05']"
"[3.0, '2014-10-12/2014-10-15']","['sot', 3, '2014-10-12/2014-10-15']"
"[4.0, '2014-10-21/2014-10-25']","['sot', 4, '2014-10-21/2014-10-25']"
"[5.0, '2014-11-13/2014-11-18']","['h', 4, '2014-11-13/2014-11-17']"
"[5.0, '2014-12-13/2014-12-18']","['sot', 5, '2014-12-13/2014-12-18']"
"[4.0, '2014-12-19/2014-12-23']","['sot', 4, '2014-12-19/2014-12-23']"
"[3.0, '2015-02-23/2015-02-26']","['sot', 3, '2015-02-23/2015-02-26']"
"[3.0, '2015-03-30/2015-04-02']","['sot', 3, '2015-03-30/2015-04-02']"
"[5.0, '2015-04-22/2015-04-27']","['sot', 5, '2015-04-22/2015-04-27']"
"[3.0, '2015-06-05/2015-06-08']","['sot', 3, '2015-06-05/2015-06-08']"
"[3.0, '2015-07-24/2015-07-27']","['sot', 3, '2015-07-24/2015-07-27']"
"[4.0, '2015-08-25/2015-08-29']","['sot', 4, '2015-08-25/2015-08-29']"
"[5.0, '2015-10-30/2015-11-04']","['sot', 5, '2015-10-30/2015-11-04']"
"[8.0, '2015-11-04/2015-11-12']","['sot', 8, '2015-11-04/2015-11-12']"
"[4.0, '2015-12-10/2015-12-14']","['sot', 4, '2015-12-10/2015-12-14']"
"[3.0, '2015-11-17/2015-11-20']","['sot', 3, '2015-11-17/2015-11-20']"
"[3.0, '2015-12-26/2015-12-29']","['sot', 3, '2015-12-26/2015-12-29']"
"[3.0, '2016-04-05/2016-04-08']","['sot', 3, '2016-04-05/2016-04-08']"
"[3.0, '2016-04-08/2016-04-11']","['sot', 3, '2016-04-08/2016-04-11']"
"[3.0, '2016-04-15/2016-04-18']","['sot', 3, '2016-04-15/2016-04-18']"
"[4.0, '2016-04-18/2016-04-22']","['sot', 4, '2016-04-18/2016-04-22']"
"[11.0, '2016-07-05/2016-07-16']","['sot', 11, '2016-07-05/2016-07-16']"
"[7.0, '2016-08-29/2016-09-05']","['sot', 7, '2016-08-29/2016-09-05']"
"[8.0, '2016-12-11/2016-12-19']","['sot', 8, '2016-12-11/2016-12-19']"
"[7.0, '2016-12-19/2016-12-26']","['sot', 7, '2016-12-19/2016-12-26']"
"[9.0, '2016-12-26/2017-01-04']","['sot', 9, '2016-12-26/2017-01-04']"
"[8.0, '2017-04-04/2017-04-12']","['sot', 8, '2017-04-04/2017-04-12']"
"[11.0, '2017-08-02/2017-08-13']","['sot', 11, '2017-08-02/2017-08-13']"
"[4.0, '2017-12-15/2017-12-19']","['sot', 4, '2017-12-15/2017-12-19']"
"[3.0, '2018-01-02/2018-01-05']","['sot', 3, '2018-01-02/2018-01-05']"
"[3.0, '2018-01-13/2018-01-16']","['sot', 3, '2018-01-13/2018-01-16']"
"[3.0, '2018-02-17/2018-02-20']","['sot', 3, '2018-02-17/2018-02-20']"
"[3.0, '2018-03-02/2018-03-05']","['sot', 3, '2018-03-02/2018-03-05']"
"[4.0, '2018-03-30/2018-04-03']","['sot', 4, '2018-03-30/2018-04-03']"
"[4.0, '2018-04-20/2018-04-24']","['sot', 4, '2018-04-20/2018-04-24']"
"[11.0, '2018-05-17/2018-05-28']","['sot', 11, '2018-05-17/2018-05-28']"
"[9.0, '2018-10-13/2018-10-22']","['sot', 9, '2018-10-13/2018-10-22']"
